                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.7432,                0.92309,                 1.0991,                0.78576,                0.59774,                0.63853,                0.30289,                 1.6911,                0.84055,                 1.0886,               0.008053,               0.008053,               0.008053
                     61,                 1.7429,                0.91704,                 1.0942,                0.78702,                0.59727,                0.63934,                0.30309,                 1.6912,                0.83961,                 1.0874,                0.00802,                0.00802,                0.00802
                     62,                  1.743,                0.91434,                 1.0931,                0.78858,                0.59631,                0.63956,                0.30342,                 1.6908,                0.83765,                  1.086,               0.007987,               0.007987,               0.007987
                     63,                 1.7427,                 0.9173,                 1.0918,                0.79041,                0.59653,                0.63972,                0.30387,                 1.6898,                0.83594,                  1.085,               0.007954,               0.007954,               0.007954
                     64,                 1.7359,                0.91146,                 1.0899,                 0.7903,                0.59748,                0.64083,                 0.3046,                 1.6885,                0.83498,                 1.0837,               0.007921,               0.007921,               0.007921
                     65,                 1.7336,                0.91044,                 1.0868,                0.79222,                0.59675,                0.64098,                0.30467,                 1.6876,                0.83343,                 1.0828,               0.007888,               0.007888,               0.007888
                     66,                 1.7416,                0.91295,                 1.0881,                0.78952,                0.59859,                0.64068,                0.30488,                 1.6869,                0.83257,                 1.0817,               0.007855,               0.007855,               0.007855
                     67,                 1.7268,                 0.9034,                 1.0896,                0.79053,                 0.5973,                0.64032,                0.30519,                 1.6868,                0.83118,                 1.0809,               0.007822,               0.007822,               0.007822
                     68,                   1.73,                0.90434,                 1.0848,                0.79085,                0.59694,                0.64064,                0.30518,                 1.6855,                0.83026,                 1.0799,               0.007789,               0.007789,               0.007789
                     69,                 1.7246,                0.90125,                 1.0837,                0.79094,                0.59698,                  0.641,                0.30564,                 1.6852,                0.82988,                  1.079,               0.007756,               0.007756,               0.007756
                     70,                  1.732,                0.90044,                 1.0851,                0.79079,                0.59677,                0.64188,                0.30599,                 1.6844,                0.82908,                 1.0782,               0.007723,               0.007723,               0.007723
                     71,                 1.7215,                0.89634,                 1.0808,                0.79233,                0.59772,                0.64258,                0.30626,                 1.6839,                0.82849,                 1.0774,                0.00769,                0.00769,                0.00769
                     72,                 1.7229,                0.89671,                  1.081,                0.79132,                0.59856,                0.64297,                0.30662,                 1.6826,                 0.8277,                 1.0767,               0.007657,               0.007657,               0.007657
                     73,                 1.7181,                0.89281,                 1.0781,                0.78963,                0.60007,                0.64343,                 0.3068,                  1.682,                0.82669,                 1.0759,               0.007624,               0.007624,               0.007624
                     74,                 1.7184,                0.89277,                 1.0753,                0.78937,                0.60134,                 0.6439,                0.30712,                  1.681,                0.82526,                 1.0751,               0.007591,               0.007591,               0.007591
                     75,                 1.7164,                 0.8909,                 1.0758,                 0.7904,                0.60145,                0.64466,                0.30773,                 1.6799,                0.82451,                 1.0743,               0.007558,               0.007558,               0.007558
                     76,                 1.7182,                  0.892,                 1.0741,                0.79039,                0.60191,                0.64498,                  0.308,                 1.6796,                0.82357,                 1.0737,               0.007525,               0.007525,               0.007525
                     77,                 1.7165,                0.89109,                 1.0746,                 0.7887,                  0.604,                0.64567,                0.30817,                  1.679,                0.82334,                  1.073,               0.007492,               0.007492,               0.007492
                     78,                 1.7127,                0.88698,                 1.0713,                0.78979,                  0.603,                0.64532,                0.30837,                  1.678,                0.82207,                 1.0722,               0.007459,               0.007459,               0.007459
                     79,                 1.7094,                0.88627,                 1.0742,                0.79065,                0.60414,                0.64596,                0.30848,                 1.6774,                0.82121,                 1.0716,               0.007426,               0.007426,               0.007426
                     80,                 1.7078,                  0.884,                 1.0728,                0.79054,                0.60408,                0.64642,                 0.3089,                 1.6767,                0.82067,                  1.071,               0.007393,               0.007393,               0.007393
                     81,                 1.7098,                0.88402,                  1.072,                0.78993,                0.60434,                0.64637,                0.30903,                 1.6761,                0.81944,                 1.0705,                0.00736,                0.00736,                0.00736
                     82,                 1.6992,                0.88075,                 1.0692,                0.78983,                0.60459,                0.64646,                0.30924,                  1.676,                0.81908,                 1.0699,               0.007327,               0.007327,               0.007327
                     83,                 1.7051,                0.88252,                   1.07,                0.79001,                0.60605,                 0.6474,                0.30972,                 1.6754,                0.81889,                 1.0693,               0.007294,               0.007294,               0.007294
                     84,                 1.7036,                0.87882,                 1.0645,                 0.7908,                0.60529,                 0.6475,                0.30985,                 1.6746,                0.81782,                 1.0688,               0.007261,               0.007261,               0.007261
                     85,                 1.7009,                0.87556,                 1.0639,                 0.7901,                0.60689,                0.64802,                0.31015,                 1.6741,                0.81732,                 1.0682,               0.007228,               0.007228,               0.007228
                     86,                 1.7023,                0.87753,                 1.0702,                0.79196,                0.60671,                0.64872,                0.31032,                 1.6733,                0.81654,                 1.0675,               0.007195,               0.007195,               0.007195
                     87,                 1.7041,                0.87733,                 1.0655,                0.79136,                0.60774,                0.64882,                0.31056,                  1.673,                0.81566,                 1.0672,               0.007162,               0.007162,               0.007162
                     88,                 1.7029,                0.87699,                 1.0638,                0.79304,                0.60794,                0.64917,                0.31099,                 1.6722,                 0.8153,                 1.0669,               0.007129,               0.007129,               0.007129
                     89,                 1.6944,                0.86909,                 1.0659,                0.79182,                0.60841,                 0.6496,                0.31119,                 1.6717,                0.81416,                 1.0662,               0.007096,               0.007096,               0.007096
                     90,                 1.6957,                 0.8747,                  1.063,                0.79194,                0.60854,                0.64978,                0.31148,                 1.6709,                0.81349,                 1.0657,               0.007063,               0.007063,               0.007063
                     91,                 1.6935,                0.87216,                 1.0582,                0.79244,                0.60833,                0.65023,                0.31172,                 1.6707,                 0.8136,                 1.0652,                0.00703,                0.00703,                0.00703
                     92,                 1.6949,                0.86621,                 1.0607,                0.79355,                0.60841,                0.65066,                0.31199,                 1.6698,                0.81269,                 1.0648,               0.006997,               0.006997,               0.006997
                     93,                  1.692,                0.87071,                 1.0616,                0.79544,                0.60861,                0.65097,                0.31249,                 1.6697,                0.81211,                 1.0642,               0.006964,               0.006964,               0.006964
                     94,                 1.6928,                0.86807,                  1.061,                0.79543,                0.60871,                0.65123,                0.31254,                  1.669,                0.81172,                 1.0637,               0.006931,               0.006931,               0.006931
                     95,                 1.6859,                0.86426,                 1.0596,                0.79434,                0.60919,                0.65134,                0.31282,                 1.6683,                0.81093,                 1.0633,               0.006898,               0.006898,               0.006898
                     96,                 1.6867,                0.86164,                 1.0602,                0.79402,                 0.6095,                0.65139,                0.31322,                 1.6674,                0.81022,                  1.063,               0.006865,               0.006865,               0.006865
                     97,                  1.685,                0.86326,                  1.058,                0.79459,                0.60947,                 0.6517,                0.31344,                 1.6667,                0.80972,                 1.0623,               0.006832,               0.006832,               0.006832
                     98,                 1.6844,                0.86058,                 1.0573,                0.79387,                 0.6092,                0.65167,                0.31364,                 1.6658,                0.80917,                 1.0618,               0.006799,               0.006799,               0.006799
                     99,                 1.6799,                0.85632,                 1.0578,                0.79647,                0.60951,                0.65235,                0.31364,                 1.6647,                0.80795,                 1.0613,               0.006766,               0.006766,               0.006766
                    100,                 1.6793,                0.85602,                 1.0559,                0.79692,                0.60929,                0.65241,                0.31408,                 1.6641,                0.80694,                 1.0608,               0.006733,               0.006733,               0.006733
                    101,                 1.6815,                0.85724,                 1.0595,                0.79779,                0.60953,                0.65315,                0.31427,                 1.6634,                0.80639,                 1.0604,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.6852,                0.85923,                  1.059,                0.79803,                0.60855,                0.65257,                0.31434,                  1.663,                0.80542,                 1.0599,               0.006667,               0.006667,               0.006667
                    103,                 1.6815,                0.85411,                 1.0565,                0.79914,                 0.6084,                0.65259,                 0.3146,                 1.6623,                0.80459,                 1.0595,               0.006634,               0.006634,               0.006634
